	difference	favorable	unfavorable
-90	0.013412791281206564	0.1833816805318802	0.20127677536407476
-89	0.01620794601325995	0.17683676782363081	0.19044988852158787
-88	-0.012321918528309068	0.13447052889520056	0.19003128786408352
-87	-0.040055127115755144	0.10374132729001825	0.20406766145973046
-86	-0.06785820577451146	0.081872805565072024	0.22962470432688123
-85	-0.10402024455738099	0.048827545930804329	0.2578302388265043
-84	-0.15781136290571529	-0.0080068069014764733	0.29259937657220808
-83	-0.17672530361630337	-0.026063315968144637	0.30669560624074133
-82	-0.13520404355157917	0.0023148787225990325	0.2614404647532742
-81	-0.085495175326369702	0.040418206705543115	0.212884790893791
-80	-0.0097246532021063297	0.10345875474111364	0.14510876115490495
-79	0.041482884318120222	0.14293086685057235	0.095759581706924682
-78	0.082529035041519663	0.17449351366929655	0.056228202187762512
-77	0.11568408210725036	0.20691262035537253	0.033574739046147224
-76	0.1212266538973014	0.20169214732696886	0.019585187992121743
-75	0.10900829210827527	0.18043593411963652	0.016709920400118865
-74	0.09077396841044387	0.13294853497953696	-0.0079174327567239945
-73	0.097305750589384926	0.090894698889146738	-0.073528373699038502
-72	0.092087307339772995	0.039951583895986638	-0.1276341593898544
-71	0.085929734774592689	0.022308649789344479	-0.13798111466936827
-70	0.090862060073183676	0.015116376687866809	-0.15579597463133824
-69	0.10509367114412332	0.049088968855401698	-0.13561104307684826
-68	0.12800759146810894	0.089030214161272866	-0.12701466641494752
-67	0.13789729174754764	0.086449613780623422	-0.14721118986292606
-66	0.16085937634027619	0.096801683126798724	-0.17556063696974727
-65	0.16536548839004736	0.10790276086039101	-0.16952095323848057
-64	0.15771946521735025	0.10073024612594644	-0.16338533556005874
-63	0.16065243172530025	0.096744017982672015	-0.17440389966350633
-62	0.14802768589416346	0.093374262926757171	-0.15319288589826954
-61	0.15567749318346211	0.11660423606875663	-0.13976386954594794
-60	0.16204372411507673	0.12751390004121724	-0.13895298691415336
-59	0.17590185624864663	0.15115464278211094	-0.13530323264578675
-58	0.19940257170233541	0.16919939439931422	-0.15778518183611179
-57	0.22307108689618935	0.18000601387204568	-0.19061171199971574
-56	0.24320685364942546	0.17719128166496109	-0.23287762258206518
-55	0.27052528562965383	0.17334581456430548	-0.28789649000334139
-54	0.30382835987224444	0.19215540158643979	-0.32368399938674286
-53	0.32787178547409512	0.2083644302712048	-0.35126496583525535
-52	0.355166881544143	0.22959078644002093	-0.37890029744992199
-51	0.36216068278676544	0.22942152192614354	-0.39514806609427777
-50	0.34719459067710107	0.20802738225782383	-0.39634896018032062
-49	0.32515049130883455	0.18433340266188902	-0.38914877527600089
-48	0.28794107053950163	0.14798830548291228	-0.3651238406358347
-47	0.25523760437352844	0.11834332939409938	-0.33942646143785304
-46	0.21882144105324963	0.088927952972360252	-0.30731574224533209
-45	0.20975460248167113	0.10381596694988532	-0.27063803941664066
-44	0.18724329830654737	0.10767273632654591	-0.22258527771819533
-43	0.17264529397203779	0.11543739421545858	-0.18420925147549511
-42	0.14784816242168061	0.12016375339517643	-0.1300172170784584
-41	0.11680390912609076	0.11060238806086695	-0.082166033075551315
-40	0.10379881062572804	0.10830896041628096	-0.059806588419405352
-39	0.077122034748949783	0.098803431398171465	-0.02007614546735834
-38	0.066818726677009235	0.10367161595882819	0.0067389066605106612
-37	0.046322359293914879	0.092140972155592124	0.031790657216228813
-36	0.025941198450615283	0.074754408286709401	0.04883734647517058
-35	-0.0086360188795575055	0.041475793919614874	0.072229287599432618
-34	-0.041238975093636623	0.00096555565657088652	0.082248803030275125
-33	-0.074966609363727441	-0.04150718576795466	0.091269660246374798
-32	-0.1193531939661813	-0.10221912600119586	0.096385264062647205
-31	-0.12997205183887167	-0.1161487093193825	0.098196376089039653
