	difference	favorable	unfavorable
-90	-0.060683585255758787	0.045138753602498631	0.17133263697901821
-89	-0.075715397868818465	0.054961881062701216	0.21348444985361192
-88	-0.029780440961483839	0.092939915710363932	0.17176185765052218
-87	-0.002006784805619318	0.09173505537828526	0.11687978157290137
-86	0.04132841493719424	0.12908413764462107	0.079619665759129196
-85	0.055002153184681643	0.1632308342438834	0.094468699886557581
-84	0.010244192309622585	0.13236164551693247	0.14273292970009635
-83	-0.0040599420097203621	0.17653745573831467	0.22433382925338213
-82	-0.04278405594060166	0.15385372032598091	0.27059528267923011
-81	-0.075575943253022762	0.12555988807241494	0.29833028912269194
-80	-0.12486900108447055	0.063502205082562754	0.31584164392924002
-79	-0.14167387791165956	0.034686500738074194	0.31272529179821335
-78	-0.14968576725003901	-0.0017991011679211225	0.28366449335132526
-77	-0.15755905238622941	-0.011378981464263402	0.28781087264438099
-76	-0.1126833171314674	0.032607327061865428	0.25863662111267699
-75	-0.088072137036109915	0.020116011192404432	0.19556227994802869
-74	-0.0029951120859699285	0.071664996351533325	0.096044573345861972
-73	0.019092870778368118	0.10253961355324233	0.092256167811103768
-72	0.05694885701330088	0.14702349364134448	0.075126011134558662
-71	0.07653967288595355	0.16809982378873242	0.063795102750913935
-70	0.085670492534066292	0.17899634616841956	0.059285824342841985
-69	0.10892703392013199	0.20228524315361635	0.044880971551216703
-68	0.087253779223321934	0.12347990917877218	-0.011903646684517643
-67	0.10504552515724458	0.096406609514571709	-0.075792852683205403
-66	0.097190831191328445	0.04877543678472164	-0.1176322978367758
-65	0.11170350630272015	0.020571083721799336	-0.17680240935263056
-64	0.1322407239105948	0.014915822233398346	-0.21982517468983204
-63	0.14439860247720271	0.028767141113934781	-0.22653497460123331
-62	0.16630327925107569	0.056076812912062353	-0.23219715737592997
-61	0.18641236407052761	0.076293079151405291	-0.24807463864152146
-60	0.20442820528379543	0.10169344197999985	-0.25267512215014359
-59	0.16710206485570583	0.064367224169906492	-0.23425947012488108
-58	0.14926758696043863	0.043296242356510146	-0.22944869683349117
-57	0.13252640515165967	0.026578186379064041	-0.21993320300938984
-56	0.11437490896530284	0.003298942270919457	-0.21439526012017143
-55	0.11068366187241784	-0.0032705762769224306	-0.21338097642610179
-54	0.10137860184359729	-0.0073587656192865575	-0.19789126757896691
-53	0.11129143864652404	0.034893083218381429	-0.16392111823912564
-52	0.11047696234591219	0.062202135135717498	-0.12926170764138906
-51	0.118580783135809	0.095841382508302986	-0.10391878819532581
-50	0.11870620749359902	0.11933143361377084	-0.076415881960597815
-49	0.12460955738456685	0.13622924644030282	-0.067288468535309454
-48	0.1359360909075793	0.13221475753291226	-0.093261229053704486
-47	0.15440365700581193	0.13023409087860094	-0.13052348819027226
-46	0.17922129419758986	0.15090787159208885	-0.15138497105782384
-45	0.18965901673529878	0.15286302108466579	-0.16854575455824336
-44	0.22363719169835877	0.1810312583196475	-0.19778878101975483
-43	0.2350501378087185	0.19054218448252877	-0.20728610141516463
-42	0.22509345911266898	0.17656106945079261	-0.2063106193035909
-41	0.21697138604552238	0.1691987859757047	-0.20027023095373372
-40	0.18566589509679635	0.13877011084946883	-0.17948124030460111
-39	0.16503883372306494	0.11983064772540192	-0.16404655719115294
-38	0.13660960495663499	0.082202664146305462	-0.15823180806427833
-37	0.13355841553640141	0.079078821111864664	-0.15640194282737349
-36	0.11287369333861205	0.064697387814089777	-0.13504704134826936
-35	0.078186531108324103	0.03997832825032014	-0.09973757041750772
-34	0.046697183992657487	0.025338586958667968	-0.05763957804025311
-33	0.0074027014199345214	0.0072009766059345686	-0.0048388659442146955
-32	-0.03419452749163307	-0.00059627474517450114	0.066220049884114937
-31	-0.085232775743183539	-0.028154107313939452	0.12905042174788756
-30	-0.10909540895272524	-0.031273794994677931	0.17151727829589647
-29	-0.14773669574465584	-0.050023324650233784	0.22166003950830804
-28	-0.2034010298386813	-0.097627447681298163	0.26620310493258559
-27	-0.23551558440426593	-0.12872113741794344	0.28696126437984809
-26	-0.26674494585686037	-0.16957908718287257	0.29216331853398886
-25	-0.27819546579133547	-0.19952695892268352	0.27217869084369251
-24	-0.29289929505320189	-0.24194059798343287	0.24559175878803954
-23	-0.26917183803903999	-0.2293845491141458	0.2177722954191782
