	fav	unfav	other	positive	negative	neutral	sentiment
fav	1.0	-0.35692554170223428	-0.71930296956989359	0.23008475095035127	0.22294286577727712	0.22315744082262021	0.093227080883247659
unfav	-0.35692554170223428	1.0	-0.22560635891169264	-0.097019682739688765	-0.10227445357207068	-0.089105121165475143	-0.0418216331230589
other	-0.71930296956989359	-0.22560635891169264	1.0	-0.28984287025979605	-0.28470991648381283	-0.27600415916281784	-0.19528279438653906
positive	0.23008475095035127	-0.097019682739688765	-0.28984287025979605	1.0	0.99558321134199235	0.99769693869913156	0.012250085572588701
negative	0.22294286577727712	-0.10227445357207068	-0.28470991648381283	0.99558321134199235	1.0	0.99383554264537943	-0.029027550802075433
neutral	0.22315744082262021	-0.089105121165475143	-0.27600415916281784	0.99769693869913156	0.99383554264537943	1.0	-0.0053568917659212482
sentiment	0.093227080883247659	-0.0418216331230589	-0.19528279438653906	0.012250085572588701	-0.029027550802075433	-0.0053568917659212482	1.0
