date	positive	negative	neutral	sentiment
2012-10-28	3603	4992	2645	0.7217548076923077
2012-10-29	4038	5735	3088	0.7040976460331299
2012-10-24	5057	7078	4023	0.7144673636620514
2012-10-25	5419	7002	3993	0.7739217366466724
2012-10-26	5013	6728	3777	0.7450951248513674
2012-10-27	3474	4932	2612	0.7043795620437956
2012-10-20	2646	3713	1959	0.7126312954484244
2012-10-21	2523	3562	1935	0.7083099382369455
2012-10-22	3693	5389	2807	0.6852848394878456
2012-10-23	23671	32974	19709	0.7178686237641778
2012-07-28	964	1404	726	0.6866096866096866
2012-07-29	912	1333	688	0.6841710427606902
2012-07-20	1299	1985	1083	0.6544080604534005
2012-07-21	821	1196	650	0.6864548494983278
2012-07-22	724	1136	532	0.6373239436619719
2012-07-23	1215	1740	817	0.6982758620689655
2012-07-24	1319	2185	1179	0.6036613272311213
2012-07-25	1202	1800	988	0.6677777777777778
2012-07-26	1276	1808	986	0.7057522123893806
2012-07-27	1238	1871	927	0.6616782469267771
