	difference	favorable	unfavorable
-90	0.26476755378762734	0.11903568701934139	-0.35673442615682338
-89	0.21302342463221732	0.11201561243985805	-0.26676070250723644
-88	0.091730883492219334	0.029256021464006937	-0.13812294538939079
-87	-0.061054188956652058	-0.041758577353542381	0.064694420471743702
-86	-0.16905619992163498	-0.037765016985749446	0.27559088895272998
-85	-0.27095124318135527	-0.06987674276768624	0.43101141355989681
-84	-0.30467543157566002	-0.11266256340170985	0.4456633813352785
-83	-0.24573662795689571	-0.057543909969180802	0.40032878332805638
-82	-0.16553669340805482	0.0033701990861726987	0.32075150364454025
-81	-0.075156766181815132	0.10819640957631782	0.27623961506637368
-80	0.046157342737731179	0.22377296917301556	0.18570699654989528
-79	0.15524576659170058	0.31906090520813185	0.094250400195208459
-78	0.20028670514835176	0.30882257739768526	-0.0040446450262882341
-77	0.1528614334009667	0.25052479396376776	0.016141358386881324
-76	0.085121183408244358	0.17798841262032825	0.059497617421685821
-75	-0.014895175065175653	0.063979706272029299	0.10941393358354849
-74	-0.1184023840314007	-0.059936374761397196	0.1532459645215922
-73	-0.20697489664551563	-0.15745663423916309	0.20159106972919691
-72	-0.25871478002406739	-0.24386408737146389	0.19280375217215279
-71	-0.27268211974171225	-0.27134843637181583	0.18525205473904613
-70	-0.19528263152818925	-0.18217737483662816	0.14750114092068287
-69	-0.11646745117209736	-0.070185383805466642	0.13095596432127646
-68	0.0081334021457275425	0.079331538748564454	0.079541738030891485
-67	0.14998192612872688	0.2455300162183606	0.020131422083276191
-66	0.29123407380085886	0.3999405207130946	-0.0504360834996034
-65	0.3584699765851696	0.44631723186498606	-0.11456555884756373
-64	0.36064995162074642	0.38991312628205482	-0.18352714730438419
-63	0.29564848965392737	0.26420134737581574	-0.21763394801840424
-62	0.20128700111848657	0.11738794526591391	-0.22010310607184938
-61	0.14206332930367707	0.00038329608572307473	-0.26267055484687774
-60	0.0949860956269135	-0.080824882984136093	-0.28488100453843368
-59	0.054772170135318106	-0.11625962625937904	-0.26008586266926981
-58	0.036229155739587356	-0.13439719266122002	-0.24922013208383781
-57	0.048072095952214469	-0.10232267298654764	-0.22842131339282457
-56	0.062512020463808063	-0.057961092636371683	-0.195498135341236
-55	0.060217666680586465	-0.033524870895144776	-0.1569906545107527
-54	0.060117092634128816	0.0052718827503216532	-0.10523097641301357
-53	0.068796335651455737	0.050720891953514952	-0.064974335076996959
-52	0.089441092454699361	0.070857117403669553	-0.079280538559783911
-51	0.11331057101181993	0.10460962866206235	-0.083292440797000003
-50	0.12052167202757426	0.12297282504875386	-0.075357896788462955
-49	0.12113553229313156	0.14393171157770696	-0.051060613629079765
-48	0.13498781469590113	0.17570817835265279	-0.036253815254208496
-47	0.11470181871802401	0.16662264379817124	-0.0078238432216324715
-46	0.10393833351670363	0.14940051004040297	-0.0082825379272789858
-45	0.10450330965825425	0.14103451649142429	-0.019529743961760652
-44	0.093160636380501968	0.10409273494362471	-0.04516302414283211
-43	0.11962754991052618	0.090568884657879239	-0.11384798183915373
-42	0.15421374643891736	0.092954818322933452	-0.17804255672064065
-41	0.18426062137985333	0.097048279813107458	-0.2313711673379083
-40	0.21745695146005292	0.11195572312356941	-0.27693015459909248
-39	0.23783805809308856	0.12593976397426099	-0.29820028387721814
-38	0.224819603499745	0.11890932745518253	-0.28210785974686187
-37	0.2094759524499635	0.12509818704413891	-0.24388272529339355
-36	0.15513030861902138	0.10824691326463083	-0.15982424142788607
-35	0.097403453925263783	0.068893968610534831	-0.098788479175150753
-34	0.040515964456467213	0.029875258859263249	-0.0394135626987848
-33	-0.0057370528874509542	0.011709975506277906	0.027012424518496992
-32	-0.077796722964876414	-0.031224530744939496	0.11046695421605633
-31	-0.12502609182554728	-0.060806668024435843	0.16303161954135539
-30	-0.1672502279520835	-0.086800732637207598	0.21063322658430184
-29	-0.18907674407724689	-0.10437472807500001	0.22935874509723794
-28	-0.19761338378875837	-0.1017826484103353	0.24929523460339045
-27	-0.19839412855850172	-0.084370414440554126	0.27415189580134514
-26	-0.19249705586882365	-0.076757263173966958	0.27185615905158361
-25	-0.18209024275786667	-0.067624877296256963	0.26127749319465743
-24	-0.19324343283750356	-0.090738815665727834	0.25091097208614987
-23	-0.19460305681099588	-0.11614173853372864	0.22021987190042952
-22	-0.18840723670713752	-0.13899429152871715	0.17934408285665113
-21	-0.21751393285557072	-0.20409178939105196	0.15165315051260483
-20	-0.23209634605300272	-0.26394424615267814	0.10390804054387261
-19	-0.22921528959299869	-0.28057212079091082	0.077016870972439991
-18	-0.21206716108345844	-0.27824174312058803	0.046736430163267326
-17	-0.18623259368854433	-0.24910108414441812	0.033980373652476234
-16	-0.14561452939804548	-0.19103423487009308	0.033796576201762352
-15	-0.10543023294355781	-0.15088040225028618	0.0076103057569645721
-14	-0.046436305294546176	-0.088848700324768548	-0.026681687794783401
-13	0.004097559995167103	-0.041095553112044353	-0.062946672883826299
-12	0.031476910055004581	-0.039509768169612942	-0.11438054230730972
-11	0.081802877693962758	-0.0059543195880399948	-0.16659362148458076
-10	0.086901232467547634	0.00046813869598325014	-0.16797928250614491
-9	0.092524756107935022	-0.017564839382374547	-0.20267522602293442
-8	0.10312895032870548	-0.010253059471296811	-0.21333599674043335
-7	0.092781204778134341	-0.021929819634300296	-0.20819217342435781
-6	0.082752866793272331	-0.030478056663742363	-0.19975168292243611
-5	0.052541901663681709	-0.048627362033475792	-0.16499092249822953
-4	-0.012881129951872027	-0.097104224655232177	-0.10257722292639078
-3	-0.057837120164652936	-0.1424639021035187	-0.0750999743666
-2	-0.058641068276714975	-0.11807321624992158	-0.040262902629157105
-1	-0.032321942017191213	-0.073087407369733834	-0.031593042451721905
0	-0.0070113271758210707	-0.019091120809398635	-0.010656368801763211
1	0.018018627979866336	0.044924850231420434	0.021796855021276006
2	0.055832834705718766	0.098989059917529959	0.016405190391983526
3	0.068182350421186852	0.11439305472754041	0.011657005133367147
4	0.052654693268844421	0.10181839294143126	0.026229293066423201
5	0.0053972256045847411	0.04351678802095886	0.044427421409363947
6	-0.064676282405768434	-0.040122585679152063	0.074976869067880494
7	-0.11941413584168202	-0.11425809793141736	0.087731449466508155
8	-0.205198398361499	-0.21677520009377035	0.12497075700427537
9	-0.30088324361258195	-0.31881718895121841	0.1820564024540455
10	-0.35391512036540534	-0.38491576757648249	0.20251120891898172
11	-0.3770013977653956	-0.42453468323617538	0.19752622523197425
12	-0.36095034871495657	-0.40938798542937721	0.18355109571064154
13	-0.3217585727692257	-0.386117343534366	0.13276746987891347
14	-0.28821940470194007	-0.36444364857911726	0.091513470107701042
15	-0.25680799613378552	-0.33106100819409617	0.071590955174308704
16	-0.24609182292163087	-0.30289114690668389	0.085530145982191608
17	-0.24624151759867832	-0.29560452388935099	0.094496255182692404
18	-0.27273435345583441	-0.31990491099752272	0.11335752922506143
19	-0.29460266661012458	-0.35208971557966595	0.11452944366364638
20	-0.30284296934790028	-0.35166370754984827	0.1328680424948909
21	-0.29612979922653776	-0.33541517201065391	0.14140589130830356
22	-0.28845603576563683	-0.31329478216328571	0.15457218278926771
23	-0.2900976983427857	-0.30002777393185098	0.17349575825790559
24	-0.26792076347884686	-0.24402039031014611	0.19869566925577092
25	-0.2679714996834141	-0.2345546556134743	0.21019688094067218
26	-0.25314584524796041	-0.18185922045645431	0.24094239362916764
27	-0.23550002922862251	-0.13751245043068219	0.25716458769832595
28	-0.20487611584578422	-0.08847646642938839	0.25597131541583201
29	-0.17161424321590799	-0.053860415728503273	0.23564664706618679
30	-0.15249288116772317	-0.034975217161852971	0.22321627640736388
31	-0.097001456115891851	0.022461716322395305	0.19022392756113393
